Predicted: 406.1868761442238, Target: [310.]
Predicted: 288.86168304902986, Target: [270.]
Predicted: 662.0807828919245, Target: [673.]
Predicted: 849.5795326245269, Target: [920.]
Predicted: 208.05955719644044, Target: [200.]
Predicted: 485.1577882186283, Target: [540.]
Predicted: 667.0732819094655, Target: [320.]
Predicted: 535.6030747104861, Target: [440.]
Predicted: 479.9956500859597, Target: [360.]
Predicted: 278.3045634602717, Target: [240.]
Predicted: 285.4821804274851, Target: [235.]
Predicted: 398.68676433073927, Target: [460.]
Predicted: 290.27800615870984, Target: [220.]
Predicted: 423.72028877598484, Target: [400.]
Predicted: 545.817477766349, Target: [570.]
Predicted: 497.14932012202496, Target: [400.]
Predicted: 372.8658249157337, Target: [242.]
Predicted: 800.5585784331563, Target: [700.]
Predicted: 554.093945304081, Target: [230.]
Predicted: 659.4204400428933, Target: [750.]
Predicted: 352.2688976679913, Target: [216.]
Predicted: 381.5720050928559, Target: [335.]
Predicted: 1482.10707077993, Target: [2700.]
Predicted: 1225.9854795749693, Target: [1420.]
Predicted: 431.8110546204764, Target: [425.]
Predicted: 430.1128675744196, Target: [275.]
Predicted: 715.4261056577338, Target: [800.]
Predicted: 795.3950660302867, Target: [515.]
Predicted: 283.767239496372, Target: [325.]
Predicted: 448.606797995952, Target: [555.]
Predicted: 165.78821393348835, Target: [265.]
Predicted: 595.0618136476038, Target: [630.]
Predicted: 329.7291751438469, Target: [340.]
Predicted: 407.4994405434992, Target: [225.]
Predicted: 467.15169096274724, Target: [340.]
Predicted: 395.1387243295413, Target: [385.]
Predicted: 350.63195819465255, Target: [300.]
Predicted: 226.68594473307354, Target: [205.]
Predicted: 385.4479824833187, Target: [245.]
Predicted: 474.9392189915046, Target: [325.]
Predicted: 425.6910389150636, Target: [398.]
Predicted: 851.0395837983542, Target: [860.]
Predicted: 1220.705620549518, Target: [2080.]
Predicted: 523.2895093117024, Target: [479.]
Predicted: 348.2634210590254, Target: [228.]
Predicted: 108.7349314591728, Target: [180.]
Predicted: 513.2570523241413, Target: [430.]
Predicted: 680.4162307323534, Target: [630.]
Predicted: 749.2882025797444, Target: [658.]
Predicted: 414.34524611668803, Target: [395.]
Predicted: 327.3277134392018, Target: [385.]
Predicted: 647.2666682449243, Target: [388.]
Predicted: 518.4905524749013, Target: [360.]
Predicted: 300.8447028813948, Target: [300.]
Predicted: 1034.0312795889608, Target: [1650.]
Predicted: 654.2264348365823, Target: [612.]
Predicted: 602.5297627209736, Target: [370.]
Predicted: 1045.969599897839, Target: [1230.]
Predicted: 639.2623681689017, Target: [460.]
Predicted: 709.5435869653764, Target: [955.]
Predicted: 417.62100121113474, Target: [355.]
Predicted: 456.24739548084415, Target: [360.]
Predicted: 1341.9519503272131, Target: [580.]
Predicted: 561.9821591251406, Target: [300.]
Predicted: 1248.4406754352392, Target: [2160.]
Predicted: 917.951503079621, Target: [1080.]
Predicted: 253.92000264740363, Target: [315.]
Predicted: 145.69275561668553, Target: [195.]
Predicted: 885.9044840749677, Target: [1000.]
Predicted: 943.1446229710423, Target: [1300.]
Predicted: 75.66158250882984, Target: [176.]
Predicted: 474.2806967879869, Target: [385.]
Predicted: 669.357968928174, Target: [810.]
Predicted: 480.4211641958573, Target: [440.]
