Predicted: 237.97035340081925, Target: [270.]
Predicted: 660.6439273237718, Target: [673.]
Predicted: 983.2187458882922, Target: [920.]
Predicted: 145.27537206611464, Target: [200.]
Predicted: 501.9368432924398, Target: [540.]
Predicted: 605.6803948739354, Target: [320.]
Predicted: 528.3368420219267, Target: [440.]
Predicted: 493.5248515998419, Target: [360.]
Predicted: 176.39121281620572, Target: [240.]
Predicted: 193.89727308075896, Target: [235.]
Predicted: 457.3685593349601, Target: [460.]
Predicted: 284.5629403097122, Target: [220.]
Predicted: 474.8415471928121, Target: [400.]
Predicted: 645.7085196770176, Target: [570.]
Predicted: 437.5807563299335, Target: [400.]
Predicted: 313.12963140042734, Target: [242.]
Predicted: 812.880669880413, Target: [700.]
Predicted: 493.9540112438593, Target: [230.]
Predicted: 655.1676875744994, Target: [750.]
Predicted: 278.6718836372673, Target: [216.]
Predicted: 416.39407718123687, Target: [335.]
Predicted: 1612.2638430985235, Target: [2700.]
Predicted: 1281.6698926859976, Target: [1420.]
Predicted: 401.15960850465865, Target: [425.]
Predicted: 371.84655414241956, Target: [275.]
Predicted: 763.2114683806626, Target: [800.]
Predicted: 855.4001916972982, Target: [515.]
Predicted: 226.07360881566262, Target: [325.]
Predicted: 410.99167888101454, Target: [555.]
Predicted: 36.984456180393465, Target: [265.]
Predicted: 655.4617115320832, Target: [630.]
Predicted: 336.88469110562914, Target: [340.]
Predicted: 372.7255345239754, Target: [225.]
Predicted: 404.1349172404671, Target: [340.]
Predicted: 353.7899935012283, Target: [385.]
Predicted: 349.2757603375825, Target: [300.]
Predicted: 251.95631628618474, Target: [205.]
Predicted: 325.34739634578204, Target: [245.]
Predicted: 380.3539030862746, Target: [325.]
Predicted: 400.1729237937743, Target: [398.]
Predicted: 881.8939332452348, Target: [860.]
Predicted: 1359.5194215570118, Target: [2080.]
Predicted: 523.8909814344468, Target: [479.]
Predicted: 311.3649052187026, Target: [228.]
Predicted: 39.17532458315998, Target: [180.]
Predicted: 493.3644583435355, Target: [430.]
Predicted: 785.2061478328844, Target: [630.]
Predicted: 871.6070467171428, Target: [658.]
Predicted: 421.6614367617409, Target: [395.]
Predicted: 217.32430259517986, Target: [385.]
Predicted: 584.0200646481983, Target: [388.]
Predicted: 509.34333348499183, Target: [360.]
Predicted: 103.53252827412518, Target: [300.]
Predicted: 1140.0617676415804, Target: [1650.]
Predicted: 683.566214576002, Target: [612.]
Predicted: 560.9828973470492, Target: [370.]
Predicted: 1166.4944439673916, Target: [1230.]
Predicted: 653.8079407157932, Target: [460.]
Predicted: 814.5890838828911, Target: [955.]
Predicted: 465.88710298617036, Target: [355.]
Predicted: 425.70452486864906, Target: [360.]
Predicted: 1380.0798926426107, Target: [580.]
Predicted: 583.4650516517078, Target: [300.]
Predicted: 1402.9130845036684, Target: [2160.]
Predicted: 1068.9714536601598, Target: [1080.]
Predicted: 256.3188459983191, Target: [315.]
Predicted: 41.933177799537305, Target: [195.]
Predicted: 929.4639359572009, Target: [1000.]
Predicted: 1038.2817535988536, Target: [1300.]
Predicted: -29.426585036796325, Target: [176.]
Predicted: 438.3783928876709, Target: [385.]
Predicted: 720.3195028210771, Target: [810.]
Predicted: 407.87182339541766, Target: [440.]
Predicted: 769.7015323033481, Target: [868.]
Predicted: 217.25445238930286, Target: [205.]
Predicted: 111.78784124140077, Target: [250.]
Predicted: 512.1452758898957, Target: [565.]
Predicted: 775.1805975670859, Target: [790.]
