Predicted: 438.4621826250599, Target: 355.0
Predicted: 92.1772845189783, Target: 185.0
Predicted: 391.73876350653984, Target: 490.0
Predicted: 735.484932298174, Target: 565.0
Predicted: 268.59808085607074, Target: 235.0
Predicted: 400.8432306730622, Target: 275.0
Predicted: 580.4775454306252, Target: 789.0
Predicted: 1241.0354897120535, Target: 1750.0
Predicted: 562.1543557439445, Target: 390.0
Predicted: 784.3840862291563, Target: 730.0
Predicted: 284.3730820057076, Target: 315.0
Predicted: 653.1705093286719, Target: 680.0
Predicted: 851.3973604373725, Target: 800.0
Predicted: 452.9074191907939, Target: 425.0
Predicted: 226.59474062295533, Target: 255.0
Predicted: 342.4420975161937, Target: 460.0
Predicted: 506.1316291784499, Target: 670.0
Predicted: 1071.6252203942506, Target: 740.0
Predicted: 448.59461711857944, Target: 360.0
Predicted: 317.48439048436774, Target: 321.0
Predicted: 824.8698358096499, Target: 830.0
Predicted: 454.41690666965496, Target: 360.0
Predicted: 407.9097657388302, Target: 295.0
Predicted: 257.0656663901194, Target: 256.0
Predicted: 724.0988819878223, Target: 520.0
Predicted: 364.4309526332727, Target: 450.0
Predicted: 609.7178013600528, Target: 750.0
Predicted: 484.1419619577929, Target: 490.0
Predicted: 683.5992060098305, Target: 778.0
Predicted: 940.4491792792576, Target: 920.0
Predicted: 1869.5237905998092, Target: 3300.0
Predicted: 20.408990790282076, Target: 185.0
Predicted: 1492.894847975141, Target: 2200.0
Predicted: 514.3881474454624, Target: 303.0
Predicted: 303.2371658923104, Target: 390.0
Predicted: 251.99740648426302, Target: 365.0
Predicted: 537.3139320011319, Target: 440.0
Predicted: 711.3434995868352, Target: 560.0
Predicted: 1198.6496793843326, Target: 1150.0
Predicted: 309.4099131500757, Target: 230.0
Predicted: 357.753995836503, Target: 540.0
Predicted: 129.82015230487832, Target: 258.0
Predicted: 508.3059275521315, Target: 355.0
Predicted: 366.91730333750445, Target: 360.0
Predicted: 489.300407316087, Target: 310.0
Predicted: 282.05609406241933, Target: 295.0
Predicted: 575.04323347495, Target: 730.0
Predicted: 1340.7092826850624, Target: 1500.0
Predicted: 662.9271753210724, Target: 660.0
Predicted: 650.7529268924362, Target: 668.0
Predicted: 430.04825939136185, Target: 463.0
Predicted: 198.74790873582913, Target: 280.0
Predicted: 653.7723944801841, Target: 720.0
Predicted: 416.9840405230809, Target: 495.0
Predicted: 598.7312443600016, Target: 375.0
Predicted: 198.81209231237392, Target: 236.0
Predicted: 1210.6450813189763, Target: 1550.0
Predicted: 1274.025401561051, Target: 2700.0
Predicted: 184.84847504140765, Target: 360.0
Predicted: 471.3532737790165, Target: 430.0
Predicted: 688.5270680817976, Target: 420.0
Predicted: 257.7635183326611, Target: 160.0
Predicted: 297.9977046196766, Target: 405.0
Predicted: 30.730569291980885, Target: 158.0
Predicted: 547.3417002550527, Target: 630.0
Predicted: 787.9900620557326, Target: 815.0
Predicted: 551.8587112421556, Target: 525.0
Predicted: 281.508425366696, Target: 585.0
Predicted: 1031.2141034578563, Target: 898.0
Predicted: 798.625388105653, Target: 790.0
Predicted: 594.6929658311474, Target: 545.0
Predicted: 380.00880732976475, Target: 455.0
