Predicted: 689.0866586688809, Target: 330.0
Predicted: 599.7638472322694, Target: 510.0
Predicted: 389.32609256344284, Target: 305.0
Predicted: 527.063237984783, Target: 360.0
Predicted: 254.91530130740784, Target: 245.0
Predicted: 507.93300412242803, Target: 280.0
Predicted: 521.3902244030515, Target: 460.0
Predicted: 597.3662278568278, Target: 250.0
Predicted: 247.70072168126086, Target: 143.0
Predicted: 320.47208110484496, Target: 240.0
Predicted: 476.8273176844588, Target: 350.0
Predicted: 325.50286093583287, Target: 260.0
Predicted: 644.8808444011287, Target: 415.0
Predicted: 802.5181774419298, Target: 820.0
Predicted: 541.6127478537559, Target: 320.0
Predicted: 629.258662078029, Target: 350.0
Predicted: 705.0714453826145, Target: 605.0
Predicted: 1003.849500614767, Target: 530.0
Predicted: 175.31062357456315, Target: 163.0
Predicted: 725.5601712633626, Target: 450.0
Predicted: 581.7288027891613, Target: 475.0
Predicted: 499.9701668408805, Target: 430.0
Predicted: 906.6745343691133, Target: 680.0
Predicted: 1915.6726626194263, Target: 530.0
Predicted: 837.8783907523206, Target: 980.0
Predicted: 783.6632987096074, Target: 625.0
Predicted: 447.72798317741996, Target: 304.0
Predicted: 345.526324364888, Target: 260.0
Predicted: 416.75501859589076, Target: 385.0
Predicted: 880.8780577314593, Target: 860.0
Predicted: 1007.407065742473, Target: 900.0
Predicted: 647.7892861392868, Target: 523.0
Predicted: 515.047055272299, Target: 400.0
Predicted: 1099.1302611576245, Target: 938.0
Predicted: 685.2679720833971, Target: 335.0
Predicted: 1504.3752524939307, Target: 675.0
Predicted: 701.9350142858027, Target: 560.0
Predicted: 473.8714939484776, Target: 368.0
Predicted: 2355.9007027765992, Target: 4500.0
Predicted: 437.67654426489554, Target: 185.0
Predicted: 669.0750528697229, Target: 480.0
Predicted: 334.4322483294081, Target: 228.0
Predicted: 236.46838973255143, Target: 170.0
Predicted: 409.02662569240067, Target: 340.0
Predicted: 488.24474491628206, Target: 252.0
Predicted: 1718.666432308661, Target: 845.0
Predicted: 605.7703835187842, Target: 350.0
Predicted: 275.84804453248745, Target: 180.0
Predicted: 547.9842392928188, Target: 370.0
Predicted: 490.3751650143422, Target: 455.0
Predicted: 425.01862776758435, Target: 220.0
Predicted: 546.0175151430113, Target: 368.0
Predicted: 533.0677948218581, Target: 275.0
Predicted: 1300.668874711129, Target: 1330.0
Predicted: 927.6928786590524, Target: 440.0
Predicted: 363.7521185733903, Target: 300.0
Predicted: 553.8526082694777, Target: 410.0
Predicted: 535.1370724272474, Target: 465.0
Predicted: 368.09815726080467, Target: 267.0
Predicted: 939.1541351172915, Target: 736.0
Predicted: 647.8513760836639, Target: 596.0
Predicted: 462.111960546763, Target: 435.0
Predicted: 395.3904483117233, Target: 288.0
Predicted: 305.6797320516194, Target: 298.0
Predicted: 539.3416750056431, Target: 220.0
Predicted: 357.43506152801234, Target: 235.0
Predicted: 337.14682844803923, Target: 235.0
Predicted: 310.12666311821164, Target: 450.0
Predicted: 599.5633933407858, Target: 500.0
Predicted: 770.1021946570457, Target: 345.0
Predicted: 459.63200182963396, Target: 230.0
Predicted: 544.6038880728414, Target: 340.0
Predicted: 912.7229796199621, Target: 750.0
Predicted: 471.715076674184, Target: 310.0
Predicted: 431.12459438613604, Target: 265.0
Predicted: 1542.1211769144813, Target: 1400.0
Predicted: 554.4690921120448, Target: 425.0
Predicted: 425.9115647658517, Target: 380.0
Predicted: 271.55483639255937, Target: 202.0
Predicted: 639.4552901447273, Target: 458.0
Predicted: 762.452738651895, Target: 920.0
Predicted: 236.29359698286945, Target: 155.0
Predicted: 954.5892283357862, Target: 766.0
Predicted: 337.05863737583655, Target: 160.0
Predicted: 488.57817967214686, Target: 345.0
Predicted: 470.56714571243367, Target: 258.0
Predicted: 737.8467488735017, Target: 500.0
Predicted: 625.245856692736, Target: 750.0
Predicted: 1345.4254633326661, Target: 920.0
Predicted: 501.3389111568153, Target: 300.0
Predicted: 1238.3536882491787, Target: 560.0
Predicted: 554.9288859921672, Target: 150.0
Predicted: 615.27515013939, Target: 330.0
Predicted: 305.9270411950938, Target: 240.0
Predicted: 335.21218970101404, Target: 310.0
Predicted: 579.9454807784921, Target: 430.0
Predicted: 374.049755566939, Target: 352.0
Predicted: 525.5989050326384, Target: 360.0
Predicted: 563.9766433542244, Target: 305.0
Predicted: 595.9119998065898, Target: 460.0
Predicted: 372.94228160002973, Target: 275.0
Predicted: 185.22377861032479, Target: 190.0
Predicted: 1368.340402565096, Target: 1150.0
Predicted: 1485.609264672392, Target: 1800.0
Predicted: 931.1367840332789, Target: 788.0
Predicted: 1673.4651936279065, Target: 1650.0
Predicted: 843.1682937606423, Target: 920.0
Predicted: 587.2349594025993, Target: 410.0
Predicted: 194.99565723232732, Target: 110.0
Predicted: 839.4842609230069, Target: 720.0
Predicted: 506.5586016857823, Target: 280.0
Predicted: 550.4919225480778, Target: 450.0
Predicted: 337.5425829177788, Target: 235.0
Predicted: 334.2340044910063, Target: 173.0
Predicted: 446.49668508487304, Target: 335.0
Predicted: 568.5877801126882, Target: 385.0
Predicted: 874.5254448294197, Target: 790.0
Predicted: 637.969405290112, Target: 282.0
Predicted: 565.0693825031973, Target: 380.0
Predicted: 1467.7596460792338, Target: 1450.0
Predicted: 408.5813544621772, Target: 390.0
Predicted: 1305.463566309817, Target: 1300.0
Predicted: 561.3083219399707, Target: 595.0
Predicted: 459.7160059588154, Target: 345.0
Predicted: 429.6778563301562, Target: 260.0
Predicted: 583.5441149116525, Target: 310.0
Predicted: 362.73357924422874, Target: 213.0
Predicted: 404.0258989580352, Target: 320.0
Predicted: 498.45819923049686, Target: 305.0
Predicted: 478.8103717209447, Target: 315.0
Predicted: 345.4617796348262, Target: 270.0
Predicted: 840.3806564035906, Target: 970.0
Predicted: 518.0003231806261, Target: 320.0
Predicted: 775.6291833326378, Target: 500.0
Predicted: 626.3773855202995, Target: 205.0
Predicted: 523.4442535737679, Target: 270.0
Predicted: 402.6920571761503, Target: 250.0
Predicted: 1246.5276175120332, Target: 1100.0
Predicted: 2427.173011078015, Target: 2600.0
Predicted: 401.51722144828835, Target: 400.0
Predicted: 1133.4981439944363, Target: 1300.0
Predicted: 429.36401567327056, Target: 325.0
Predicted: 801.4547381359998, Target: 670.0
Predicted: 1055.6443864286448, Target: 730.0
Predicted: 1076.683548345356, Target: 1250.0
Predicted: 626.777458034773, Target: 525.0
Predicted: 1425.7452682793974, Target: 1350.0
Predicted: 220.37103928481528, Target: 185.0
Predicted: 213.80629137763418, Target: 220.0
Predicted: 748.2578198835222, Target: 390.0
Predicted: 980.0254524571726, Target: 900.0
Predicted: 749.2507016157759, Target: 670.0
