Predicted: 330.3300333505235, Target: [310.]
Predicted: 282.51062759399866, Target: [270.]
Predicted: 486.9793279560927, Target: [673.]
Predicted: 1141.4233375157387, Target: [920.]
Predicted: 225.5816122757338, Target: [200.]
Predicted: 387.7269049785239, Target: [540.]
Predicted: 361.8844380046529, Target: [320.]
Predicted: 392.59157436075066, Target: [440.]
Predicted: 391.25746967873175, Target: [360.]
Predicted: 291.35007630780103, Target: [240.]
Predicted: 278.74218445163297, Target: [235.]
Predicted: 357.35331618774893, Target: [460.]
Predicted: 259.8001944925437, Target: [220.]
Predicted: 414.5501937278777, Target: [400.]
Predicted: 543.6751531190006, Target: [570.]
Predicted: 476.2059013621644, Target: [400.]
Predicted: 222.1646849717098, Target: [242.]
Predicted: 733.1321949496376, Target: [700.]
Predicted: 432.72230948345117, Target: [230.]
Predicted: 596.4291399113074, Target: [750.]
Predicted: 244.0440590673137, Target: [216.]
Predicted: 317.46094445674566, Target: [335.]
Predicted: 2185.86904208265, Target: [2700.]
Predicted: 1428.789376481736, Target: [1420.]
Predicted: 372.4290415564861, Target: [425.]
Predicted: 340.46421303134497, Target: [275.]
Predicted: 780.4228460756176, Target: [800.]
Predicted: 556.1696141456068, Target: [515.]
Predicted: 295.3261263006888, Target: [325.]
Predicted: 381.35746487299303, Target: [555.]
Predicted: 190.0494166311555, Target: [265.]
Predicted: 578.619419653277, Target: [630.]
Predicted: 336.677175931725, Target: [340.]
Predicted: 348.94400924031487, Target: [225.]
Predicted: 455.73289564825376, Target: [340.]
Predicted: 337.6003832251776, Target: [385.]
Predicted: 306.57267990615867, Target: [300.]
Predicted: 321.74736883478414, Target: [205.]
Predicted: 310.11612706923944, Target: [245.]
Predicted: 358.7776603405821, Target: [325.]
Predicted: 354.87203535150326, Target: [398.]
Predicted: 913.2869450362008, Target: [860.]
Predicted: 1596.202243493163, Target: [2080.]
Predicted: 431.63788409585555, Target: [479.]
Predicted: 347.10887390423915, Target: [228.]
Predicted: 122.51626652393156, Target: [180.]
Predicted: 443.203526356568, Target: [430.]
Predicted: 812.4701811316144, Target: [630.]
Predicted: 750.6375781511052, Target: [658.]
Predicted: 391.70170830545766, Target: [395.]
Predicted: 277.6393180808531, Target: [385.]
Predicted: 524.9395273086101, Target: [388.]
Predicted: 485.2790709301257, Target: [360.]
Predicted: 219.81082202941292, Target: [300.]
Predicted: 1338.3179606746855, Target: [1650.]
Predicted: 593.6215761096763, Target: [612.]
Predicted: 409.889563958417, Target: [370.]
Predicted: 1172.5131599672725, Target: [1230.]
Predicted: 574.603735793506, Target: [460.]
Predicted: 910.0381290292488, Target: [955.]
Predicted: 417.0038847991819, Target: [355.]
Predicted: 369.7997017382178, Target: [360.]
Predicted: 1665.0432413778944, Target: [580.]
Predicted: 336.6990834469348, Target: [300.]
Predicted: 1788.1595727007577, Target: [2160.]
Predicted: 1071.7038369282466, Target: [1080.]
Predicted: 233.4866574658177, Target: [315.]
Predicted: 166.34492340999563, Target: [195.]
Predicted: 1058.2709527217467, Target: [1000.]
Predicted: 1158.0830585414415, Target: [1300.]
