Predicted: 147.0234375, Target: 210.0
Predicted: 459.5625, Target: 400.0
Predicted: 389.15625, Target: 250.0
Predicted: -27.359375, Target: 129.0
Predicted: 174.3515625, Target: 225.0
Predicted: 259.1328125, Target: 285.0
Predicted: 319.9296875, Target: 238.0
Predicted: 174.1171875, Target: 168.0
Predicted: 519.890625, Target: 530.0
Predicted: 385.4140625, Target: 210.0
Predicted: 468.359375, Target: 390.0
Predicted: 868.234375, Target: 870.0
Predicted: 536.34375, Target: 379.0
Predicted: 734.9140625, Target: 1130.0
Predicted: 837.5078125, Target: 1028.0
Predicted: 634.7421875, Target: 720.0
Predicted: 582.9296875, Target: 560.0
Predicted: 581.546875, Target: 565.0
Predicted: 285.4453125, Target: 215.0
Predicted: 1360.859375, Target: 1680.0
Predicted: 264.859375, Target: 215.0
Predicted: 379.7890625, Target: 310.0
Predicted: 386.3203125, Target: 355.0
Predicted: 442.6484375, Target: 500.0
Predicted: 397.734375, Target: 305.0
Predicted: 494.6875, Target: 509.0
Predicted: 414.5703125, Target: 435.0
Predicted: 391.6015625, Target: 320.0
Predicted: 700.3515625, Target: 880.0
Predicted: 492.421875, Target: 260.0
Predicted: 428.8671875, Target: 360.0
Predicted: 96.3984375, Target: 300.0
Predicted: 1224.671875, Target: 938.0
Predicted: 346.9375, Target: 230.0
Predicted: 411.234375, Target: 380.0
Predicted: 427.7421875, Target: 299.0
Predicted: 331.578125, Target: 315.0
Predicted: 448.109375, Target: 259.0
Predicted: 425.09375, Target: 420.0
Predicted: 390.0390625, Target: 400.0
Predicted: 280.8828125, Target: 310.0
Predicted: 648.609375, Target: 700.0
Predicted: 208.96875, Target: 235.0
Predicted: 915.6796875, Target: 1200.0
Predicted: 249.1328125, Target: 190.0
Predicted: 821.890625, Target: 720.0
Predicted: 485.3359375, Target: 450.0
Predicted: 815.453125, Target: 630.0
Predicted: 771.1015625, Target: 760.0
Predicted: 186.5859375, Target: 265.0
Predicted: 641.8984375, Target: 698.0
Predicted: 505.328125, Target: 368.0
Predicted: 651.2265625, Target: 542.0
Predicted: 172.546875, Target: 235.0
Predicted: 919.859375, Target: 820.0
Predicted: 252.9296875, Target: 310.0
Predicted: 395.46875, Target: 309.0
Predicted: 444.765625, Target: 400.0
Predicted: 385.53125, Target: 265.0
Predicted: 177.71875, Target: 260.0
Predicted: 984.390625, Target: 700.0
Predicted: 828.703125, Target: 630.0
Predicted: 441.84375, Target: 456.0
Predicted: 369.3515625, Target: 275.0
Predicted: 144.7265625, Target: 215.0
Predicted: 551.3515625, Target: 728.0
Predicted: -11.7734375, Target: 215.0
Predicted: 516.921875, Target: 598.0
Predicted: 460.0, Target: 400.0
Predicted: 369.2265625, Target: 320.0
Predicted: 179.765625, Target: 239.5
Predicted: 456.328125, Target: 315.0
Predicted: 865.28125, Target: 970.0
Predicted: 227.921875, Target: 255.0
Predicted: 434.7421875, Target: 295.0
Predicted: 1109.4140625, Target: 1099.0
Predicted: 455.796875, Target: 360.0
Predicted: 190.765625, Target: 225.0
Predicted: 885.484375, Target: 830.0
Predicted: 1283.1015625, Target: 960.0
Predicted: 168.609375, Target: 190.0
Predicted: 321.25, Target: 185.0
Predicted: 591.328125, Target: 980.0
Predicted: 467.1953125, Target: 458.0
Predicted: 980.859375, Target: 900.0
Predicted: 220.078125, Target: 240.0
Predicted: 604.0703125, Target: 490.0
Predicted: 1329.796875, Target: 1600.0
Predicted: 351.671875, Target: 320.0
Predicted: 428.734375, Target: 350.0
Predicted: 950.75, Target: 1100.0
Predicted: 723.3828125, Target: 670.0
Predicted: 372.3203125, Target: 316.0
Predicted: 417.046875, Target: 415.0
Predicted: 230.265625, Target: 220.0
Predicted: 568.671875, Target: 520.0
Predicted: 498.2578125, Target: 335.0
Predicted: 1580.9921875, Target: 2998.0
Predicted: 169.4140625, Target: 200.0
Predicted: 224.109375, Target: 230.0
Predicted: 723.171875, Target: 730.0
Predicted: 316.140625, Target: 270.0
Predicted: 245.0859375, Target: 185.0
Predicted: 876.8359375, Target: 950.0
Predicted: 788.2578125, Target: 610.0
Predicted: 514.609375, Target: 375.0
Predicted: 1116.0078125, Target: 1058.0
Predicted: 317.4375, Target: 458.0
Predicted: 421.9453125, Target: 330.0
Predicted: 579.03125, Target: 440.0
Predicted: 1637.40625, Target: 3000.0
Predicted: 576.109375, Target: 480.0
Predicted: 436.9140625, Target: 495.0
Predicted: 361.234375, Target: 375.0
Predicted: 518.3984375, Target: 380.0
Predicted: 237.0703125, Target: 308.0
Predicted: 929.6796875, Target: 530.0
Predicted: 450.4921875, Target: 340.0
Predicted: 1894.7265625, Target: 2400.0
Predicted: 440.5703125, Target: 390.0
Predicted: 525.3125, Target: 450.0
Predicted: 1184.8671875, Target: 1350.0
Predicted: 332.6484375, Target: 258.0
Predicted: 552.03125, Target: 450.0
Predicted: 426.2421875, Target: 265.0
Predicted: 1336.9375, Target: 1380.0
Predicted: 278.2421875, Target: 235.0
Predicted: 910.8046875, Target: 865.0
Predicted: 770.0078125, Target: 640.0
Predicted: 1232.2109375, Target: 1450.0
Predicted: 459.7734375, Target: 232.0
Predicted: 91.8203125, Target: 210.0
Predicted: 2282.9375, Target: 6000.0
Predicted: 279.046875, Target: 500.0
Predicted: 575.96875, Target: 425.0
Predicted: 544.203125, Target: 465.0
Predicted: 834.0703125, Target: 760.0
Predicted: 228.6171875, Target: 340.0
Predicted: 550.2265625, Target: 365.0
Predicted: 539.9375, Target: 560.0
Predicted: 463.8359375, Target: 205.0
Predicted: 381.09375, Target: 355.0
Predicted: 191.2109375, Target: 275.0
Predicted: 347.0703125, Target: 420.0
Predicted: 607.5703125, Target: 460.0
Predicted: 151.828125, Target: 260.0
Predicted: 227.5390625, Target: 230.0
Predicted: 499.6875, Target: 348.0
Predicted: 663.28125, Target: 730.0
Predicted: 342.3515625, Target: 353.0
Predicted: 995.6640625, Target: 1038.0
Predicted: 723.578125, Target: 930.0
Predicted: 520.859375, Target: 530.0
Predicted: 797.3125, Target: 735.0
Predicted: 914.7890625, Target: 650.0
Predicted: 469.109375, Target: 535.0
Predicted: 105.515625, Target: 295.0
Predicted: 384.2578125, Target: 280.0
Predicted: 922.7890625, Target: 1020.0
Predicted: 587.4921875, Target: 437.0
Predicted: 564.7421875, Target: 570.0
Predicted: 194.125, Target: 380.0
Predicted: 190.7421875, Target: 180.0
Predicted: 1171.8828125, Target: 880.0
Predicted: 298.015625, Target: 380.0
Predicted: 460.1328125, Target: 370.0
Predicted: 326.4375, Target: 395.0
Predicted: 324.234375, Target: 380.0
Predicted: 264.2109375, Target: 380.0
Predicted: 316.625, Target: 280.0
Predicted: 953.671875, Target: 950.0
Predicted: 145.2109375, Target: 260.0
Predicted: 712.3125, Target: 660.0
Predicted: 455.6640625, Target: 230.0
Predicted: 308.3984375, Target: 340.0
Predicted: 829.140625, Target: 850.0
Predicted: 463.0390625, Target: 485.0
Predicted: 475.21875, Target: 450.0
Predicted: 788.515625, Target: 900.0
Predicted: -65.28125, Target: 145.0
Predicted: 746.265625, Target: 780.0
Predicted: 626.4921875, Target: 610.0
Predicted: 428.421875, Target: 400.0
Predicted: 299.1484375, Target: 215.0
Predicted: 487.84375, Target: 590.0
Predicted: 437.015625, Target: 320.0
Predicted: 456.4765625, Target: 390.0
Predicted: 284.625, Target: 320.0
Predicted: 207.9921875, Target: 194.0
Predicted: 311.71875, Target: 340.0
Predicted: 500.203125, Target: 400.0
Predicted: 361.546875, Target: 330.0
Predicted: 1174.328125, Target: 1430.0
Predicted: 533.6328125, Target: 370.0
Predicted: 314.53125, Target: 275.0
Predicted: 394.984375, Target: 386.0
Predicted: 1070.6640625, Target: 1500.0
Predicted: 654.3359375, Target: 525.0
Predicted: 334.6171875, Target: 362.0
Predicted: 1127.8828125, Target: 1350.0
Predicted: 383.3671875, Target: 385.0
Predicted: -8.046875, Target: 180.0
Predicted: 250.609375, Target: 305.0
Predicted: 185.671875, Target: 225.0
Predicted: 258.3984375, Target: 208.0
Predicted: 446.53125, Target: 245.0
Predicted: 741.484375, Target: 745.0
Predicted: 55.203125, Target: 230.0
Predicted: 407.421875, Target: 420.0
Predicted: 367.9140625, Target: 335.0
Predicted: 961.6171875, Target: 980.0
Predicted: 614.7109375, Target: 380.0
Predicted: 271.5234375, Target: 180.0
Predicted: 1224.734375, Target: 770.0
Predicted: 630.1328125, Target: 560.0
Predicted: 244.4921875, Target: 290.0
Predicted: 446.625, Target: 410.0
Predicted: 210.75, Target: 250.0
Predicted: 252.9921875, Target: 380.0
Predicted: 228.46875, Target: 210.0
Predicted: 305.9921875, Target: 290.0
Predicted: 474.84375, Target: 450.0
Predicted: 992.828125, Target: 1160.0
R-squared: 0.71
